Years,World
1950,2558023014
1951,2595838116
1952,2637936830
1953,2683288876
1954,2731379529
1955,2782973591
1956,2836130358
1957,2892165757
1958,2948892474
1959,3001437149
1960,3043723411
1961,3084753192
1962,3140982059
1963,3210747452
1964,3282150912
1965,3351447909
1966,3421950085
1967,3491918938
1968,3563999493
1969,3638882226
1970,3714262611
1971,3791743647
1972,3867870067
1973,3943419907
1974,4018458832
1975,4090103265
1976,4160559370
1977,4232059147
1978,4302722246
1979,4375744045
1980,4446577493
1981,4528093274
1982,4610457704
1983,4694399021
1984,4776064187
1985,4860890771
1986,4948025675
1987,5037825348
1988,5128699375
1989,5219487797
1990,5311730498
1991,5399196354
1992,5485405014
1993,5568593583
1994,5649626197
1995,5731591840
1996,5812817178
1997,5892580547
1998,5971292506
1999,6049472403
2000,6127808574
2001,6206706241
2002,6285807390
2003,6364835208
2004,6444395930
2005,6524073402
2006,6605775486
2007,6689469335
2008,6775054741
2009,6861021264
2010,6945956023
2011,7030358583
2012,7115478142
2013,7201963539
2014,7288380944
2015,7373934264
2016,7458545351
2017,7541702475
2018,7623689178
2019,7704695610
2020,7784569440
2021,7855175454
2022,7919217028
2023,7985160744
    ,8056083537
2025,8127318404
2026,8197952209
2027,8268209165
2028,8338042036
2029,8407414013
2030,8476257486
2031,8544710031
2032,8612796376
2033,8680278030
2034,8747099292
2035,8813205710
2036,8878647489
2037,8943474407
2038,9007541036
2039,9070727948
2040,9132957114
2041,9194256055
2042,9254624057
2043,9313851645
2044,9371794826
2045,9428411659
2046,9483736510
2047,9537760719
2048,9590343213
2049,9641433701
2050,9691068818
2051,9739453562
2052,9786753168
2053,9832902838
2054,9877898024
2055,9921795521
2056,9964686950
2057,10006633038
2058,10047610151
2059,10087623081
2060,10126706753
2061,10164911377
2062,10202244943
2063,10238664970
2064,10274165011
2065,10308759628
2066,10342478178
2067,10375314389
2068,10407238311
2069,10438220631
2070,10468216767
2071,10497225965
2072,10525229893
2073,10552207138
2074,10578155778
2075,10603045969
2076,10626865384
2077,10649583770
2078,10671186165
2079,10691682933
2080,10711056568
2081,10729334590
2082,10746527200
2083,10762655860
2084,10777775881
2085,10791890542
2086,10805003411
2087,10817113295
2088,10828234618
2089,10838384807
2090,10847543241
2091,10855741431
2092,10863017503
2093,10869346021
2094,10874689465
2095,10879009775
2096,10882261303
2097,10884400425
2098,10885398551
2099,10885234066
2100,10883888455